State,House Seat,Priority Value,State Abbreviation,State Seat
Michigan,330,945036,MI,11
Pennsylvania,331,943974,PA,14
Maine,332,942626,ME,2
New Hampshire,333,934403,NH,2
New Jersey,334,928392,NJ,10
Missouri,335,927591,MO,7
Georgia,336,927487,GA,11
Ohio,337,926221,OH,13
Florida,338,922263,FL,21
California,339,922095,CA,41
Colorado,340,921074,CO,6
Texas,341,919003,TX,28
North Carolina,342,912061,NC,11
New York,343,903549,NY,22
Washington,344,902457,WA,8
California,345,899872,CA,42
Maryland,346,893405,MD,7
Illinois,347,887727,IL,15
Texas,348,886748,TX,29
Iowa,349,881552,IA,4
Florida,350,879344,FL,22
Wisconsin,351,879256,WI,7
Pennsylvania,352,878792,PA,15
California,353,878696,CA,43
Alabama,354,876901,AL,6
Massachusetts,355,876569,MA,8
Indiana,356,868810,IN,8
New York,357,863371,NY,23
Michigan,358,862696,MI,12
Oregon,359,860574,OR,5
Mississippi,360,859744,MS,4
California,361,858493,CA,44
Ohio,362,857514,OH,14
Arizona,363,856933,AZ,8
Texas,364,856680,TX,30
Tennessee,365,851953,TN,8
South Carolina,366,848235,SC,6
Virginia,367,847252,VA,10
Georgia,368,846676,GA,12
Arkansas,369,844730,AR,4
New Mexico,370,843961,NM,3
Oklahoma,371,841853,OK,5
Florida,372,840242,FL,23
New Jersey,373,839762,NJ,11
California,374,839199,CA,45
North Carolina,375,832594,NC,12
Louisiana,376,831436,LA,6
Illinois,377,830392,IL,16
Texas,378,828584,TX,31
Kansas,379,826712,KS,4
New York,380,826615,NY,24
Pennsylvania,381,822035,PA,16
California,382,820753,CA,46
Minnesota,383,820104,MN,7
Florida,384,804470,FL,24
Missouri,385,803318,MO,8
California,386,803100,CA,47
Texas,387,802273,TX,32
Connecticut,388,800876,CT,5
Utah,389,799851,UT,4
Ohio,390,798302,OH,15
Washington,391,795892,WA,9
Kentucky,392,794308,KY,6
Michigan,393,793565,MI,13
New York,394,792861,NY,25
California,395,786191,CA,48
Nevada,396,782146,NV,4
Illinois,397,780018,IL,17
Georgia,398,778829,GA,13
Colorado,399,778450,CO,7
Texas,400,777582,TX,33
Maryland,401,773712,MD,8
Massachusetts,402,773061,MA,9
Pennsylvania,403,772167,PA,17
Florida,404,771621,FL,25
California,405,769979,CA,49
New Jersey,406,766595,NJ,12
Virginia,407,766368,VA,11
Indiana,408,766219,IN,9
North Carolina,409,765875,NC,13
New York,410,761756,NY,26
Wisconsin,411,761458,WI,8
West Virginia,412,759266,WV,3
Arizona,413,755744,AZ,9
California,414,754422,CA,50
Texas,415,754365,TX,34
Tennessee,416,751352,TN,9
Nebraska,417,747839,NE,3
Ohio,418,746743,OH,16
Rhode Island,419,746172,RI,2
Florida,420,741349,FL,26
Alabama,421,741116,AL,7
California,422,739482,CA,51
Illinois,423,735408,IL,18
Michigan,424,734699,MI,14
New York,425,733000,NY,27
Texas,426,732495,TX,35
Pennsylvania,427,728006,PA,18
California,428,725121,CA,52
Georgia,429,721055,GA,14
South Carolina,430,716890,SC,7
Florida,431,713364,FL,27
Washington,432,711868,WA,10
Texas,433,711857,TX,36
California,434,711308,CA,53
Minnesota,435,710231,MN,8
North Carolina,436,709063,NC,14
Missouri,437,708459,MO,9
New York,438,706337,NY,28
New Jersey,439,705164,NJ,13
Montana,440,703158,MT,2
