Percentile,Pop per Rep Start,Pop per Rep Census,Current Pop Per EC Vote,Pop per Rep Census,Current Pop Per EC Vote,Max,Current Population Per Representative,Priority Number
80,8,1360104,469228,675791,354919,994416,706550,703842,709063
60,5,3023568,1053040,706323,519767,734699,1579561
50,4,4452284,1521397,713605,562207,746496,2282095
40,3,5468219,1914255,721032,600913,754271,2871383
20,1,8959157,3042000,737575,637714,789284,4563000
